name,address,coordinates,opening_time,closing_time
Depósito ,"Rua Melvin Jones, Bairro dos Ipês, S/N","-7.102936,-34.8592992",9:00:00,16:00:00
Mercadinho Ponto Frio,"Rua Celerina Paiva, 207","-7.1068019,-34.8648225",09:00:00,16:00:00
Mercadinho Lima,"Rua Coronel Barata, Treze de maio, 49","-7.1132627,-34.8676339",09:00:00,16:00:00
Mercadinho Real Preço,"Rua João Moreira Dauto, Cidade Padre Zé","-7.1059451,-34.8729508",09:00:00,16:00:00
Mercadinho Jardim Mangueira,Rua Alfredo José Athaíde,"-7.1001228,-34.8727936",09:00:00,16:00:00
Mercadinho Alto do Céu,Rua Índio Felipe Camarão,"-7.0988438,-34.8650511",09:00:00,16:00:00
Mercadinho Novais ,"Avenida Presidente Félix Antônio, 775","-7.1480175,-34.8893583",09:00:00,16:00:00
Mercadinho Clarice,"Rua Elias Cavalcante de Albuquerque, 1007","-7.1603916,-34.8812873",09:00:00,16:00:00
